iter	R2	RMSE
580	0.5932402758	211955.1498
581	0.5932636823	211949.0514
582	0.5932876454	211942.8077
583	0.5933429159	211928.4062
584	0.5933983766	211913.9541
585	0.5934164243	211909.2509
586	0.5934283752	211906.1365
587	0.5934698253	211895.3343
588	0.593491563	211889.6691
589	0.5935035507	211886.5448
590	0.5935159719	211883.3075
591	0.59361255	211858.1349
592	0.5936396447	211851.0723
593	0.5936536846	211847.4125
594	0.5936760152	211841.5914
595	0.5937117244	211832.2825
596	0.5937651596	211818.3519
597	0.5937785723	211814.8551
598	0.5938895302	211785.9249
599	0.5939209936	211777.7207
600	0.5939372039	211773.4936
601	0.5939809504	211762.0858
602	0.5940160564	211752.9307
603	0.5940678843	211739.4141
604	0.5940994576	211731.1794
605	0.5941583875	211715.8089
606	0.5941756452	211711.3075
607	0.5941917082	211707.1176
608	0.5942134911	211701.4355
609	0.5942554922	211690.4791
610	0.5942843263	211682.9571
611	0.5943146104	211675.0566
612	0.594354268	211664.7102
613	0.5943914029	211655.0215
614	0.5944064023	211651.108
615	0.5944421366	211641.7842
616	0.5944797088	211631.9803
617	0.5945032925	211625.8264
618	0.5945232916	211620.6076
619	0.5946184431	211595.7761
620	0.5946712585	211581.9917
621	0.5947090053	211572.1395
622	0.5947354648	211565.2332
623	0.5948163215	211544.1268
624	0.5948438184	211536.9487
625	0.5948502618	211535.2666
626	0.5949067052	211520.5311
627	0.5949180869	211517.5596
628	0.5949439808	211510.7991
629	0.5949932144	211497.9443
630	0.5950130229	211492.7722
631	0.5950405561	211485.5829
632	0.5951253287	211463.446
633	0.5951612942	211454.0535
634	0.5951797569	211449.2317
635	0.5951996365	211444.0398
636	0.5952883577	211420.8672
637	0.5953295272	211410.1134
638	0.5953698001	211399.5934
639	0.5953952354	211392.9489
640	0.5954121148	211388.5394
641	0.5954447816	211380.0054
642	0.5954858107	211369.2863
643	0.5954913468	211367.8399
644	0.595497235	211366.3015
645	0.5955556727	211351.0331
646	0.5955721307	211346.7328
647	0.5956003554	211339.3578
648	0.5956444299	211327.8409
649	0.5957238971	211307.0739
650	0.5957279732	211306.0087
651	0.5957506875	211300.0724
652	0.5958029361	211286.4168
653	0.5958261277	211280.3553
654	0.5958282887	211279.7904
655	0.5958288512	211279.6434
656	0.5958673804	211269.5727
657	0.5959042612	211259.9323
658	0.5959494825	211248.1112
659	0.5959699613	211242.7577
660	0.595996219	211235.8933
661	0.59604387	211223.4356
662	0.596077989	211214.5152
663	0.5960836737	211213.0289
664	0.5961066047	211207.0334
665	0.5961652919	211191.6883
666	0.5962464004	211170.4787
667	0.596267075	211165.0721
668	0.5962911327	211158.7805
669	0.5963191217	211151.4606
670	0.5963345604	211147.4228
671	0.5963604704	211140.6463
672	0.5964007035	211130.1232
673	0.5964723262	211111.3888
674	0.5964850909	211108.0497
675	0.5964982275	211104.6134
676	0.5965370423	211094.4596
677	0.5965530321	211090.2765
678	0.5965869028	211081.4155
679	0.5966169682	211073.5496
680	0.596622534	211072.0935
681	0.5966454388	211066.1007
682	0.5966784427	211057.4655
683	0.5967257309	211045.0922
684	0.5967308184	211043.761
685	0.5967738159	211032.5097
686	0.5967788899	211031.1819
687	0.5968000567	211025.6429
688	0.5968215737	211020.0121
689	0.5968663024	211008.3065
690	0.5968872536	211002.8232
691	0.5969341209	210990.5569
692	0.5969351296	210990.2929
693	0.5970010313	210973.0436
694	0.5970327687	210964.736
695	0.5970588267	210957.9149
696	0.5970942835	210948.633
697	0.5971016639	210946.701
698	0.5971117523	210944.0599
699	0.5971631531	210930.6033
700	0.5971860308	210924.6137
701	0.5972128598	210917.5894
702	0.5972554385	210906.441
703	0.5972907749	210897.1884
704	0.5973300303	210886.9093
705	0.597368309	210876.8853
706	0.5973814025	210873.4565
707	0.5974028674	210867.8352
708	0.5974161698	210864.3515
709	0.5974184219	210863.7617
710	0.597420387	210863.247
711	0.5974364574	210859.0383
712	0.5974384365	210858.52
713	0.5974645718	210851.6752
714	0.597473807	210849.2564
715	0.597502189	210841.8228
716	0.597507493	210840.4336
717	0.5975130597	210838.9756
718	0.5975173668	210837.8475
719	0.5975285271	210834.9243
720	0.5976348097	210807.0844
721	0.5976497081	210803.1816
722	0.5976584991	210800.8786
723	0.5976650116	210799.1726
724	0.5976794268	210795.3962
725	0.5977181616	210785.2484
726	0.5977543469	210775.7681
727	0.5977778049	210769.6221
728	0.5978907158	210740.0366
729	0.5979150896	210733.6495
730	0.5980109561	210708.5261
731	0.5980192584	210706.3502
732	0.5980247884	210704.9008
733	0.5981304063	210677.2179
734	0.5981355065	210675.8811
735	0.5981390249	210674.9588
736	0.5981642376	210668.3499
737	0.5981702746	210666.7674
738	0.5982069401	210657.1558
739	0.5982178786	210654.2883
740	0.5982493171	210646.0466
741	0.5982703463	210640.5335
742	0.5983036326	210631.8067
743	0.5983548336	210618.3825
744	0.5983709963	210614.1447
745	0.5983930121	210608.3721
746	0.5984092095	210604.125
747	0.5984157344	210602.4141
748	0.5984464412	210594.3622
749	0.5984581981	210591.2792
750	0.5984742566	210587.0682
751	0.5984847393	210584.3192
752	0.5984889865	210583.2054
753	0.5985016443	210579.8861
754	0.5985328939	210571.6909
755	0.5985402772	210569.7546
756	0.5985602148	210564.5258
